Id;category;title;description;Localisation;prefLang
1;music;Découvrir la musique classique;;Local;fr
2;music;Jouer de la music;;Local;fr
3;music;Aller à un concert;;France;fr
4;hangingOutAndMeet;Faire un bowling;;Local;fr
5;hangingOutAndMeet;Découvrir des jeux de société;;Local;fr
6;tripsAndExchanges;Parler anglais;;Local;fr
7;tripsAndExchanges;Parler allemand;;Local;fr
8;tripsAndExchanges;Parler espagnol;;Local;fr
9;hangingOutAndMeet;Se faire un cinéma;;Local;fr
10;artsAndCulture;Visiter un château;;France;fr
11;tripsAndExchanges;Aller au Japon;;France;fr
12;tripsAndExchanges;Aller en Thaïlande;;France;fr
13;tripsAndExchanges;Aller au Canada;;France;fr
14;tripsAndExchanges;Aller aux USA;;France;fr
15;tripsAndExchanges;Aller en Amérique Latine;;France;fr
16;tripsAndExchanges;Faire un voyage en Asie;;France;fr
17;hangingOutAndMeet;Visiter Paris;;France;fr
18;artsAndCulture;Aller au musée du Louvre;;France;fr
19;artsAndCulture;Aller au musée Grévin;;France;fr
20;music;Découvrir l'Opéra;;France;fr
21;hangingOutAndMeet;Faire un afterwork;;Local;fr
22;hangingOutAndMeet;Apprendre à danser (SBK);;Local;fr
23;hangingOutAndMeet;Apprendre une danse de salon;;Local;fr
24;sportsAndGames;Faire du breakdance;;Local;fr
25;sportsAndGames;Danser le modern Jazz;;Local;fr
26;sportsAndGames;Danser le rock acrobatique;;Local;fr
27;sportsAndGames;Faire une soirée karaoké;;Local;fr
28;tripsAndExchanges;Faire une randonnée;;France;fr
29;tripsAndExchanges;Faire le GR20;;France;fr
30;sportsAndGames;Participer à une course (5 ou 10km);;France;fr
31;sportsAndGames;Participer à un semi-marathon;;France;fr
32;sportsAndGames;Participer à un marathon;;France;fr
33;sportsAndGames;Faire un trail;;France;fr
34;sportsAndGames;Faire un triathlon;;France;fr
35;sportsAndGames;Faire une sortie VTT;;France;fr
36;artsAndCulture;Participer à un vernissage;;Local;fr
37;sportsAndGames;Faire de l'escalade;;Local;fr
38;tripsAndExchanges;Faire une sortie moto;;Local;fr
39;sportsAndGames;Sortie trampoline;;Local;fr
40;sportsAndGames;Faire un karting;;Local;fr
41;hangingOutAndMeet;Balade en plein air;;Local;fr
42;hangingOutAndMeet;Initiation œnologie;;Local;fr
43;hangingOutAndMeet;Initiation cuisine;;Local;fr
44;creativeLeisure;Découvrir le scrapbooking;;Local;fr
45;music;Aller à la Philharmonie de Paris;;France;fr
46;hangingOutAndMeet;Découvrir le meilleur resto de Paris;;Local;fr
47;hangingOutAndMeet;Assister à un stand-up ;;Local;fr
48;music;Faire une scène ouverte music;;Local;fr
49;hangingOutAndMeet;Balade avec nos chiens;;Local;fr
50;tripsAndExchanges;Sortie photographie;;Local;fr
51;tripsAndExchanges;Observation astronomique;;Local;fr
52;tripsAndExchanges;Randonnée Camino Frances;;France;fr
53;tripsAndExchanges;Randonnée GR10;;France;fr
54;tripsAndExchanges;Randonnée GR31;;France;fr
55;tripsAndExchanges;Randonnée GR34;;France;fr
56;hangingOutAndMeet;Promenade cross;;Local;fr
57;hangingOutAndMeet;Promenade quad;;Local;fr
58;sportsAndGames;Sortie vélo de route;;Local;fr
59;artsAndCulture;Aller au théâtre;;Local;fr
60;tripsAndExchanges;Urbex : découverte de lieux abandonnés;;Local;fr
61;tripsAndExchanges;Débat d'opinions;;Local;fr
62;hangingOutAndMeet;Sortie shopping;;Local;fr
63;sportsAndGames;Faire du sport;;Local;fr
64;creativeLeisure;Atelier couture;;Local;fr
65;artsAndCulture;Atelier théâtre d'improvisation;;Local;fr
66;tripsAndExchanges;Atelier de sensibilisation;;Local;fr
67;sportsAndGames;Sortie foot indoor;;Local;fr
68;sportsAndGames;Sortie basket indoor;;Local;fr
69;sportsAndGames;Team League of Legends;;France;fr
70;music;Festival Solidays;;France;fr
71;music;Festival des Vieilles Charrues;;France;fr
72;music;Festival Interceltique;;France;fr
73;music;Festival Lollapalooza;;France;fr
74;hangingOutAndMeet;Soirée entre filles;;Local;fr
75;sportsAndGames;Escape Game;;Local;fr
76;artsAndCulture;Exposition;;France;fr
77;hangingOutAndMeet;Faire une scène ouverte humoristique;;Local;fr
78;hangingOutAndMeet;Faire une scène ouverte poétique;;Local;fr
79;artsAndCulture;Ateliers écriture;;Local;fr
80;sportsAndGames;Apprendre le surf;;France;fr
81;sportsAndGames;Sortie paintball;;Local;fr
82;creativeLeisure;Initiation fabrication bijoux;;Local;fr
83;creativeLeisure;Apprendre le dessin;;Local;fr
84;creativeLeisure;Initiation à la boulangerie;;Local;fr
85;creativeLeisure;Initiation à la patisserie;;Local;fr
86;creativeLeisure;Initiation à la menuiserie;;Local;fr
87;creativeLeisure;Initiation à la maroquinerie;;Local;fr
88;creativeLeisure;Apprendre la sculpture;;Local;fr
89;creativeLeisure;Apprendre à jardiner;;Local;fr
90;creativeLeisure;Initiation à la couture;;Local;fr
91;tripsAndExchanges;Apprendre à voler en ULM;;Local;fr
92;tripsAndExchanges;Sauter en parachute;;France;fr
93;tripsAndExchanges;Vol en montgolfière;;France;fr
94;hangingOutAndMeet;Sauter à l'élastique;;France;fr
95;tripsAndExchanges;Sortie ski;;France;fr
96;sportsAndGames;Sortie tir à l'arc;;Local;fr
97;creativeLeisure;Apprendre à maquiller;;Local;fr
98;creativeLeisure;Apprendre à coiffer;;Local;fr
99;creativeLeisure;Fabrication de produits d'entretien maison;;Local;fr
100;creativeLeisure;Apprendre à peindre;;Local;fr
101;creativeLeisure;Scrapcooking;;Local;fr
102;creativeLeisure;Découvrir le quilling (paperolle);;Local;fr
103;creativeLeisure;Initiation à l'upcycling;;Local;fr
104;creativeLeisure;Atelier Origami;;Local;fr
105;creativeLeisure;Tricot;;Local;fr
106;hangingOutAndMeet;Disneyland;;Mondial;fr
107;hangingOutAndMeet;Europa Park;;Mondial;fr
108;tripsAndExchanges;Château de Versailles;;Mondial;fr
109;tripsAndExchanges;Mont Saint-Michel;;Mondial;fr
110;hangingOutAndMeet;Le Puy du Fou;;Mondial;fr
111;artsAndCulture;Musée d'Orsay;;Mondial;fr
112;hangingOutAndMeet;Futuroscope;;Mondial;fr
113;hangingOutAndMeet;Parc Astérix;;Mondial;fr
114;hangingOutAndMeet;Zoo de Beauval;;Mondial;fr
115;hangingOutAndMeet;Cité des sciences et de l'industrie de La Villette;;France;fr
116;artsAndCulture;Museum d'histoire naturelle;;France;fr
117;sportsAndGames;Casino;;France;fr
118;tripsAndExchanges;Arc de Triomphe;;Mondial;fr
119;tripsAndExchanges;Château de Chenonceau;;Mondial;fr
120;tripsAndExchanges;Château de Chambord;;Mondial;fr
121;hangingOutAndMeet;Fête des lumières;;Mondial;fr
122;artsAndCulture;Musée Claude Monet;;France;fr
123;artsAndCulture;Verrerie de Biot;;France;fr
124;artsAndCulture;Palais de Tokyo;;Mondial;fr
125;hangingOutAndMeet;Course hippique;;France;fr
126;artsAndCulture;Panthéon;;Mondial;fr
127;artsAndCulture;Musée Rodin;;Mondial;fr
128;artsAndCulture;Tapisserie de Bayeux;;France;fr
129;hangingOutAndMeet;Catacombes;;France;fr
130;hangingOutAndMeet;Fêtes de Bayonne;;Mondial;fr
131;hangingOutAndMeet;Feria de Nîmes;;Mondial;fr
132;hangingOutAndMeet;Feria de Dax;;Mondial;fr
133;sportsAndGames;Pêche;;Local;fr
134;tripsAndExchanges;Camping;;France;fr
135;sportsAndGames;Chasse;;Local;fr
136;others;Faire des maraudes;;Local;fr
137;sportsAndGames;Golf;;Local;fr
138;sportsAndGames;Pétanque;;Local;fr
139;sportsAndGames;Paddle;;Local;fr
140;music;Festival d'Avignon;;Mondial;fr
141;music;Francofolies de la Rochelle;;Mondial;fr
142;music;Eurockéennes de Belfort;;Mondial;fr
143;sportsAndGames;Participer à un quart-marathon;;France;fr
